cricinfo_id,fetch_status,fetch_error,meta_full_name,meta_known_as,meta_country,meta_dob,meta_birthplace,meta_batting_style,batting_hand,meta_bowling_style,bowling_hand,bowling_type,meta_playing_role,fetched_at,name,full_name,country,dob,batting_style,bowling_style
40879,success,,Mohammad Javed Miandad Khan,Javed Miandad,Pakistan,1957-06-12,,Right-hand bat,right,Legbreak googly,,spin,,2026-06-09 18:37:15.20224,Javed Miandad,Mohammad Javed Miandad Khan,Pakistan,1957-06-12,Right-hand bat,Legbreak googly
4144,success,,Michael Gwyl Bevan,Michael Bevan,Australia,1970-05-08,,Left-hand bat,left,Left-arm wrist-spin,left,spin,,2026-06-09 18:37:16.5509,Michael Bevan,Michael Gwyl Bevan,Australia,1970-05-08,Left-hand bat,Left-arm wrist-spin
34105,success,,Javagal Srinath,Javagal Srinath,India,1969-08-31,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:37:17.895979,Javagal Srinath,Javagal Srinath,India,1969-08-31,Right-hand bat,Right-arm fast-medium
44936,success,,Abraham Benjamin de Villiers,AB de Villiers,South Africa,1984-02-17,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:19.250902,AB de Villiers,Abraham Benjamin de Villiers,South Africa,1984-02-17,Right-hand bat,Right-arm medium
52066,success,,Carl Llewellyn Hooper,Carl Hooper,West Indies,1966-12-15,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:20.602795,Carl Hooper,Carl Llewellyn Hooper,West Indies,1966-12-15,Right-hand bat,Right-arm offbreak
49764,success,,Angelo Davis Mathews,Angelo Mathews,Sri Lanka,1987-06-02,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:21.948831,Angelo Mathews,Angelo Davis Mathews,Sri Lanka,1987-06-02,Right-hand bat,Right-arm medium
33335,success,,Suresh Kumar Raina,Suresh Raina,India,1986-11-27,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:37:23.404433,Suresh Raina,Suresh Kumar Raina,India,1986-11-27,Left-hand bat,Right-arm offbreak
49758,success,,Separamadu Lasith Malinga,Lasith Malinga,Sri Lanka,1983-08-28,,Right-hand bat,right,Right-arm fast,right,pace,,2026-06-09 18:37:24.759911,Lasith Malinga,Separamadu Lasith Malinga,Sri Lanka,1983-08-28,Right-hand bat,Right-arm fast
30028,success,,Kapildev Ramlal Nikhanj,Kapil Dev,India,1959-01-06,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:37:26.216316,Kapil Dev,Kapildev Ramlal Nikhanj,India,1959-01-06,Right-hand bat,Right-arm fast-medium
52810,success,,Richard Benjamin Richardson,Richie Richardson,West Indies,1962-01-12,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:27.672872,Richie Richardson,Richard Benjamin Richardson,West Indies,1962-01-12,Right-hand bat,Right-arm medium
36185,success,,Nathan John Astle,Nathan Astle,New Zealand,1971-09-15,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:29.332191,Nathan Astle,Nathan John Astle,New Zealand,1971-09-15,Right-hand bat,Right-arm medium
6278,success,,Brett Lee,Brett Lee,Australia,1976-11-08,,Right-hand bat,right,Right-arm fast,right,pace,,2026-06-09 18:37:31.07426,Brett Lee,Brett Lee,Australia,1976-11-08,Right-hand bat,Right-arm fast
55429,success,,Grant William Flower,Grant Flower,Zimbabwe,1970-12-20,,Right-hand bat,right,Slow left-arm orthodox,left,spin,,2026-06-09 18:37:32.530386,Grant Flower,Grant William Flower,Zimbabwe,1970-12-20,Right-hand bat,Slow left-arm orthodox
56007,success,,Mashrafe Bin Mortaza,Mashrafe Mortaza,Bangladesh,1983-10-05,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:37:33.883628,Mashrafe Mortaza,Mashrafe Bin Mortaza,Bangladesh,1983-10-05,Right-hand bat,Right-arm fast-medium
41306,success,,Mohammad Moin Khan,Moin Khan,Pakistan,1971-09-23,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:35.339397,Moin Khan,Mohammad Moin Khan,Pakistan,1971-09-23,Right-hand bat,Right-arm offbreak
41434,success,,Mohammad Hafeez,Mohammad Hafeez,Pakistan,1980-10-17,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:36.797086,Mohammad Hafeez,Mohammad Hafeez,Pakistan,1980-10-17,Right-hand bat,Right-arm offbreak
36597,success,,Christopher Lance Cairns,Chris Cairns,New Zealand,1970-06-13,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:37:38.259763,Chris Cairns,Christopher Lance Cairns,New Zealand,1970-06-13,Right-hand bat,Right-arm fast-medium
55427,success,,Andrew Flower,Andy Flower,Zimbabwe,1968-04-28,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:37:39.715578,Andy Flower,Andrew Flower,Zimbabwe,1968-04-28,Left-hand bat,Right-arm offbreak
55343,success,,Elton Chigumbura,Elton Chigumbura,Zimbabwe,1986-03-14,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:37:41.17346,Elton Chigumbura,Elton Chigumbura,Zimbabwe,1986-03-14,Right-hand bat,Right-arm fast-medium
49626,success,,Roshan Siriwardene Mahanama,Roshan Mahanama,Sri Lanka,1966-05-31,,Right-hand bat,right,,,,,2026-06-09 18:37:42.629849,Roshan Mahanama,Roshan Siriwardene Mahanama,Sri Lanka,1966-05-31,Right-hand bat,
234675,success,,Ravindrasinh Anirudhsinh Jadeja,Ravindra Jadeja,India,1988-12-06,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:37:44.086609,Ravindra Jadeja,Ravindrasinh Anirudhsinh Jadeja,India,1988-12-06,Left-hand bat,Slow left-arm orthodox
55608,success,,Hamilton Masakadza,Hamilton Masakadza,Zimbabwe,1983-08-09,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:45.552345,Hamilton Masakadza,Hamilton Masakadza,Zimbabwe,1983-08-09,Right-hand bat,Right-arm medium
6513,success,,Damien Richard Martyn,Damien Martyn,Australia,1971-10-21,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:47.008838,Damien Martyn,Damien Richard Martyn,Australia,1971-10-21,Right-hand bat,Right-arm medium
55814,success,,Brendan Ross Murray Taylor,Brendan Taylor,Zimbabwe,1986-02-06,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:48.465992,Brendan Taylor,Brendan Ross Murray Taylor,Zimbabwe,1986-02-06,Right-hand bat,Right-arm offbreak
52983,success,,Marlon Nathaniel Samuels,Marlon Samuels,West Indies,1981-02-05,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:49.830182,Marlon Samuels,Marlon Nathaniel Samuels,West Indies,1981-02-05,Right-hand bat,Right-arm offbreak
53216,success,,Courtney Andrew Walsh,Courtney Walsh,West Indies,1962-10-30,,Right-hand bat,right,Right-arm fast,right,pace,,2026-06-09 18:37:51.181946,Courtney Walsh,Courtney Andrew Walsh,West Indies,1962-10-30,Right-hand bat,Right-arm fast
50744,success,,Hashan Prasantha Tillakaratne,Hashan Tillakaratne,Sri Lanka,1967-07-14,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:37:52.63886,Hashan Tillakaratne,Hashan Prasantha Tillakaratne,Sri Lanka,1967-07-14,Left-hand bat,Right-arm offbreak
308967,success,,Joseph Charles Buttler,Jos Buttler,England,1990-09-08,,Right-hand bat,right,,,,,2026-06-09 18:37:54.095359,Jos Buttler,Joseph Charles Buttler,England,1990-09-08,Right-hand bat,
44932,success,,Jean-Paul Duminy,Jean-Paul Duminy,South Africa,1984-04-14,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:37:55.953027,Jean-Paul Duminy,Jean-Paul Duminy,South Africa,1984-04-14,Left-hand bat,Right-arm offbreak
7702,success,,Andrew Symonds,Andrew Symonds,Australia,1975-06-09,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:58.018313,Andrew Symonds,Andrew Symonds,Australia,1975-06-09,Right-hand bat,Right-arm medium
226492,success,,Martin James Guptill,Martin Guptill,New Zealand,1986-09-30,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:59.904799,Martin Guptill,Martin James Guptill,New Zealand,1986-09-30,Right-hand bat,Right-arm offbreak
42420,success,,Ramiz Hasan Raja,Ramiz Raja,Pakistan,1962-08-14,,Right-hand bat,right,Legbreak,,spin,,2026-06-09 18:38:01.779443,Ramiz Raja,Ramiz Hasan Raja,Pakistan,1962-08-14,Right-hand bat,Legbreak
37712,success,,Craig Douglas McMillan,Craig McMillan,New Zealand,1976-09-13,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:38:03.516964,Craig McMillan,Craig Douglas McMillan,New Zealand,1976-09-13,Right-hand bat,Right-arm medium
47270,success,,Graeme Craig Smith,Graeme Smith,South Africa,1981-02-01,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:38:05.22125,Graeme Smith,Graeme Craig Smith,South Africa,1981-02-01,Left-hand bat,Right-arm offbreak
10772,success,,Paul David Collingwood,Paul Collingwood,England,1976-05-26,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:38:06.945651,Paul Collingwood,Paul David Collingwood,England,1976-05-26,Right-hand bat,Right-arm medium
8608,success,,James Michael Anderson,James Anderson,England,1982-07-30,,Left-hand bat,left,Right-arm fast-medium,right,pace,,2026-06-09 18:38:08.402289,James Anderson,James Michael Anderson,England,1982-07-30,Left-hand bat,Right-arm fast-medium
8166,success,,Shane Keith Warne,Shane Warne,Australia,1969-09-13,,Right-hand bat,right,Legbreak googly,,spin,,2026-06-09 18:38:09.858516,Shane Warne,Shane Keith Warne,Australia,1969-09-13,Right-hand bat,Legbreak googly
26184,success,,Ajit Bhalchandra Agarkar,Ajit Agarkar,India,1977-12-04,,Right-hand bat,right,Right-arm fast,right,pace,,2026-06-09 18:38:11.314776,Ajit Agarkar,Ajit Bhalchandra Agarkar,India,1977-12-04,Right-hand bat,Right-arm fast
8180,success,,Shane Robert Watson,Shane Watson,Australia,1981-06-17,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:38:12.770762,Shane Watson,Shane Robert Watson,Australia,1981-06-17,Right-hand bat,Right-arm fast-medium
55761,success,,Heath Hilton Streak,Heath Streak,Zimbabwe,1974-03-16,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:38:14.226331,Heath Streak,Heath Hilton Streak,Zimbabwe,1974-03-16,Right-hand bat,Right-arm fast-medium
303669,success,,Joseph Edward Root,Joe Root,England,1990-12-30,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:38:15.68261,Joe Root,Joseph Edward Root,England,1990-12-30,Right-hand bat,Right-arm offbreak
49361,success,,Romesh Shantha Kaluwitharana,Romesh Kaluwitharana,Sri Lanka,1969-11-24,,Right-hand bat,right,,,,,2026-06-09 18:38:17.037955,Romesh Kaluwitharana,Romesh Shantha Kaluwitharana,Sri Lanka,1969-11-24,Right-hand bat,
55301,success,,Alistair Douglas Ross Campbell,Alistair Campbell,Zimbabwe,1972-09-23,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:38:18.387977,Alistair Campbell,Alistair Douglas Ross Campbell,Zimbabwe,1972-09-23,Left-hand bat,Right-arm offbreak
38407,success,,Scott Bernard Styris,Scott Styris,New Zealand,1975-07-10,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:38:19.739908,Scott Styris,Scott Bernard Styris,New Zealand,1975-07-10,Right-hand bat,Right-arm medium
44485,success,,Wessel Johannes Cronje,Hansie Cronje,South Africa,1969-09-25,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:38:21.090301,Hansie Cronje,Wessel Johannes Cronje,South Africa,1969-09-25,Right-hand bat,Right-arm medium
52812,success,,Isaac Vivian Alexander Richards,Viv Richards,West Indies,1952-03-07,,Right-hand bat,right,Right-arm slow,right,,,2026-06-09 18:38:22.601598,Viv Richards,Isaac Vivian Alexander Richards,West Indies,1952-03-07,Right-hand bat,Right-arm slow
45813,success,,Gary Kirsten,Gary Kirsten,South Africa,1967-11-23,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:38:23.945678,Gary Kirsten,Gary Kirsten,South Africa,1967-11-23,Left-hand bat,Right-arm offbreak
5939,success,,Michael Edward Killeen Hussey,Michael Hussey,Australia,1975-05-27,,Left-hand bat,left,Right-arm medium,right,pace,,2026-06-09 18:38:25.291189,Michael Hussey,Michael Edward Killeen Hussey,Australia,1975-05-27,Left-hand bat,Right-arm medium
49535,success,,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Nuwan Kulasekara,Sri Lanka,1982-07-22,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:38:26.640847,Nuwan Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Sri Lanka,1982-07-22,Right-hand bat,Right-arm fast-medium
4169,success,,David Clarence Boon,David Boon,Australia,1960-12-29,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:38:28.097149,David Boon,David Clarence Boon,Australia,1960-12-29,Right-hand bat,Right-arm offbreak
43906,success,,Hashim Mahomed Amla,Hashim Amla,South Africa,1983-03-31,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:38:29.446294,Hashim Amla,Hashim Mahomed Amla,South Africa,1983-03-31,Right-hand bat,Right-arm medium
